global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.72,16,0.0,0.009923249721138873,0.1538527585280546,1.5666666666666667,0.5172294372294373,1.848,1.0,4.0,6,results/ES1xLambda_20251023_141328
0.928,16,0.0,0.007618821340458494,0.0767934186412631,0.978448275862069,0.30576906318082786,1.836,2.0,3.0,5,results/ES1xLambda_20251023_141332
0.844,16,0.0,0.007957620021288251,0.08128439499972909,1.2606635071090047,0.30992872117400416,1.908,2.0,3.0,5,results/ES1xLambda_20251023_141337
0.924,16,0.0,0.00758194202675137,0.07837746323356956,1.0476190476190477,0.30184355179704014,1.892,2.0,4.0,5,results/ES1xLambda_20251023_141342
0.964,16,0.0,0.008548593304726234,0.09391329635188547,1.157676348547718,0.2916615384615384,2.08,2.0,4.0,5,results/ES1xLambda_20251023_141346
0.92,16,0.0,0.009114710024423503,0.10680519814982926,1.173913043478261,0.371568,2.0,2.0,4.0,6,results/ES1xLambda_20251023_141351
0.912,16,0.0,0.011622912995172086,0.10627376529833195,1.2280701754385965,0.38584251968503935,2.032,2.0,4.0,6,results/ES1xLambda_20251023_141355
0.764,16,0.0,0.008257896480012027,0.11011058437507447,1.5026178010471205,0.43317154811715486,1.912,2.0,4.0,6,results/ES1xLambda_20251023_141400
0.892,16,0.0,0.009857293600807782,0.13611980118287276,1.2062780269058295,0.45001626016260166,1.968,1.0,6.0,8,results/ES1xLambda_20251023_141404
0.828,16,0.0,0.008682126964237799,0.09087457599981713,1.1304347826086956,0.3993560090702948,1.764,1.0,3.0,5,results/ES1xLambda_20251023_141409
0.848,16,0.0,0.006572029555994695,0.16345438519389285,1.2311320754716981,0.49304862579281183,1.892,1.0,6.0,7,results/ES1xLambda_20251023_141413
0.748,16,0.0,0.008050893229198391,0.1005656112896646,1.3957219251336899,0.38041071428571427,1.792,2.0,3.0,3,results/ES1xLambda_20251023_141417
0.836,16,0.0,0.010981700529547368,0.11030219210151096,1.2535885167464116,0.45707855626326965,1.884,1.0,4.0,6,results/ES1xLambda_20251023_141422
0.912,16,0.0,0.00649002386622437,0.08919768831181533,1.013157894736842,0.34876688453159044,1.836,2.0,4.0,4,results/ES1xLambda_20251023_141426
0.86,16,0.0,0.010832876293675187,0.08809683781922122,1.2930232558139534,0.3358782961460446,1.972,2.0,3.0,5,results/ES1xLambda_20251023_141431
0.856,16,0.0,0.011817051706813294,0.08622203307558908,1.1822429906542056,0.3758715203426124,1.868,2.0,3.0,5,results/ES1xLambda_20251023_141435
0.92,16,0.0,0.009472738751776937,0.08977928885887416,1.017391304347826,0.35705172413793107,1.856,2.0,4.0,6,results/ES1xLambda_20251023_141440
0.768,16,0.0,0.0077727709654877965,0.10641237297690423,1.3697916666666667,0.4327648351648352,1.82,2.0,4.0,5,results/ES1xLambda_20251023_141444
0.768,16,0.0,0.00757897425165764,0.09865078533467696,1.3645833333333333,0.42225550660792954,1.816,2.0,4.0,4,results/ES1xLambda_20251023_141449
0.908,16,0.0,0.008218694763543685,0.07987909549582715,1.092511013215859,0.32664421052631576,1.9,2.0,3.0,6,results/ES1xLambda_20251023_141454
0.756,16,0.0,0.008802677942593637,0.11058786471143064,1.417989417989418,0.4704682713347921,1.828,2.0,4.0,7,results/ES1xLambda_20251023_141458
0.772,16,0.0,0.007736135834685728,0.13143453495126425,1.4663212435233162,0.4704537815126051,1.904,1.0,5.0,6,results/ES1xLambda_20251023_141503
0.816,16,0.0,0.008505385679275048,0.10278324177110439,1.303921568627451,0.41336170212765955,1.88,2.0,4.0,5,results/ES1xLambda_20251023_141507
0.812,16,0.0,0.008387564463831914,0.09500069290194486,1.2758620689655173,0.3705454545454545,1.848,2.0,4.0,4,results/ES1xLambda_20251023_141512
0.992,16,0.0,0.008046176103830524,0.07578430770615893,0.8548387096774194,0.30422608695652176,1.84,1.0,4.0,5,results/ES1xLambda_20251023_141517
0.9,16,0.0,0.008135835821943273,0.06894499997762901,0.9955555555555555,0.3269933184855234,1.796,2.0,3.0,4,results/ES1xLambda_20251023_141521
