global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.104081891745152,0.059875602534444815,0.14208250745511078,2.176,0.2598790931989925,3.176,3.0,6.0,8,results/NSGA2InfoGain_20251020_151719
1.0,16,0.11848180586862321,0.05978192660540106,0.11583868124251187,2.02,0.3008264900662252,3.02,3.0,5.0,7,results/NSGA2InfoGain_20251020_151740
1.0,16,0.12787927054672288,0.056171263494247406,0.11817122191290438,2.004,0.22192809587217044,3.004,3.0,5.0,7,results/NSGA2InfoGain_20251020_151745
1.0,16,0.12594809363740084,0.06554527444572016,0.1498600402016599,2.664,0.2762707423580786,3.664,3.0,7.0,8,results/NSGA2InfoGain_20251020_151750
1.0,16,0.1342049040341731,0.05939959836481067,0.11827933837033562,2.252,0.2549225092250923,3.252,3.0,6.0,7,results/NSGA2InfoGain_20251020_151754
1.0,16,0.11098878685332383,0.07111620685157881,0.15916592332128718,2.544,0.3546365688487585,3.544,4.0,7.0,9,results/NSGA2InfoGain_20251020_151759
1.0,16,0.11043561361103425,0.07129159509695766,0.09647708403668867,2.216,0.21045771144278602,3.216,3.0,5.0,6,results/NSGA2InfoGain_20251020_151803
0.976,16,0.13246513275647592,0.06150930081680424,0.1116253688145437,2.3565573770491803,0.2173626373626374,3.276,3.0,6.0,6,results/NSGA2InfoGain_20251020_151807
1.0,16,0.1323628150839999,0.05903798310251921,0.11623514963091361,2.256,0.31055528255528253,3.256,2.0,6.0,6,results/NSGA2InfoGain_20251020_151812
1.0,16,0.13195055840483558,0.05841570160737621,0.14012194012396778,2.12,0.2763692307692308,3.12,2.0,6.0,7,results/NSGA2InfoGain_20251020_151821
