global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.848,16,0.16048897203579182,0.050518321825473084,0.0879648262715926,1.6037735849056605,0.36781159420289855,2.208,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142508
0.896,16,0.19542800220349119,0.04965830504084934,0.06844100731068692,1.4419642857142858,0.33276051188299816,2.188,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142509
0.876,16,0.1570172258911925,0.06678172330045422,0.0842991446558325,1.5707762557077625,0.3707495559502665,2.252,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142510
0.968,16,0.12814842123127684,0.06703437214592316,0.05494978182997231,1.5495867768595042,0.2110923824959482,2.468,3.0,3.0999999999999943,4,results/NSGA2Novelty_G_P_20251023_142510
0.748,16,0.1510521221941516,0.04173637243367585,0.09529674324586175,1.7540106951871657,0.4278446601941748,2.06,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142511
0.916,16,0.14323316604234754,0.04814546724015105,0.07572959366181728,1.4061135371179039,0.3820762250453721,2.204,2.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142512
0.9,16,0.14842346065734072,0.07598758660432404,0.09196181476987615,2.1644444444444444,0.29819101123595504,2.848,3.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142513
0.84,16,0.20843241068498933,0.050218691535721366,0.09294168246542915,1.6761904761904762,0.4241138790035587,2.248,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142514
0.796,16,0.18643081964078662,0.04656361858156842,0.07955188062900878,1.743718592964824,0.4106520146520146,2.184,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142515
0.88,16,0.1508918925513843,0.0638746238878065,0.10288273697284014,1.4954545454545454,0.30043715846994534,2.196,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142516
0.844,16,0.15894059402626065,0.0809987530952577,0.08549221626739079,1.7535545023696681,0.41987607573149743,2.324,2.0,5.0,8,results/NSGA2Novelty_G_P_20251023_142517
0.832,16,0.160185293508494,0.07732292990500084,0.06279344562989034,1.4855769230769231,0.3875203094777563,2.068,2.0,4.099999999999994,6,results/NSGA2Novelty_G_P_20251023_142518
0.732,16,0.1579809570946907,0.07185280925644794,0.08720056111113683,2.4153005464480874,0.45434240000000004,2.5,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142518
0.896,16,0.17945641625607403,0.05397400213573021,0.07733826955987615,1.4866071428571428,0.33366606822262124,2.228,2.0,4.0,7,results/NSGA2Novelty_G_P_20251023_142519
0.952,16,0.15956323105859596,0.02605024885214502,0.05457007681165893,0.7605042016806722,0.3109021479713604,1.676,1.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142520
0.856,16,0.18612934183559812,0.04165728516634347,0.07437037451395546,1.1121495327102804,0.37481415929203543,1.808,2.0,4.0,4,results/NSGA2Novelty_G_P_20251023_142521
0.892,16,0.23154627165706926,0.07260140289625139,0.061544413008216024,1.5112107623318385,0.3695142857142857,2.24,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142522
0.844,16,0.2267459750295083,0.0578773995124516,0.08019374261821503,1.900473933649289,0.3687058823529412,2.448,3.0,4.0,7,results/NSGA2Novelty_G_P_20251023_142523
0.864,16,0.15221682435012251,0.06266640831098931,0.08937752368811107,1.4953703703703705,0.406226345083488,2.156,1.5,4.0,5,results/NSGA2Novelty_G_P_20251023_142524
