global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.24353318607800997,0.06723908131912189,0.1283700569933621,2.572,0.2331959686450168,3.572,4.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142701
0.928,16,0.19603746130000305,0.07042605314784765,0.12105111064637251,2.7413793103448274,0.2437050691244239,3.472,4.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142702
0.984,16,0.18778767608041141,0.06263036414412113,0.10129888118714182,1.7398373983739837,0.32886646884272996,2.696,2.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142703
0.972,16,0.2087476264109152,0.04778538084217565,0.1014984709781686,1.868312757201646,0.30002295552367286,2.788,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142703
0.908,16,0.1435547631230641,0.06868271149717144,0.08787262697538481,1.9295154185022025,0.28620150375939846,2.66,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142704
0.9,16,0.12353623936149719,0.08885980623389153,0.14982425184310605,2.8933333333333335,0.28129680365296805,3.504,4.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142705
0.956,16,0.16093930182882013,0.11766780018453471,0.10568279375059143,2.3263598326359833,0.32512704402515724,3.18,3.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142705
0.88,16,0.1338006863224554,0.05101581654019918,0.0615069553111214,1.65,0.22148198970840483,2.332,3.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142706
0.936,16,0.20373025876695494,0.053971453959082226,0.09462064250726086,1.9059829059829059,0.33304705882352936,2.72,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142706
1.0,16,0.2728980962932452,0.057968047796527394,0.12483181718642587,2.044,0.3273745072273324,3.044,3.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142707
0.948,16,0.1437028596120792,0.055408156858761284,0.07623669179261168,1.7172995780590716,0.2794534161490684,2.576,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142708
0.888,16,0.23589963376353398,0.046957941570834265,0.07700290211406409,1.6486486486486487,0.36559183673469386,2.352,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142709
0.928,16,0.19644634576791656,0.067178067627435,0.11822111605224359,2.5,0.30754679802955665,3.248,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142709
1.0,16,0.18345549989052617,0.058347717413281375,0.07714258649385113,1.6,0.1784492307692308,2.6,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142710
0.992,16,0.15886888403152363,0.061296323671545805,0.07683688448197071,1.7016129032258065,0.24204179104477608,2.68,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142711
1.0,16,0.22741287388845818,0.07256960335947926,0.08230478200796168,1.796,0.15649213161659514,2.796,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142711
1.0,16,0.1734357632101915,0.0999458888945993,0.1019751164367051,2.156,0.30076045627376424,3.156,3.0,6.0,6,results/NSGA2Novelty_G_P_20251023_142712
0.928,16,0.1827460729478426,0.06922050648342837,0.07925313826967603,1.6939655172413792,0.22231679999999998,2.5,3.0,4.0,4,results/NSGA2Novelty_G_P_20251023_142713
0.988,16,0.18567039031184032,0.04545957027449326,0.08835625830512589,1.5708502024291497,0.28747716535433077,2.54,2.0,4.0,7,results/NSGA2Novelty_G_P_20251023_142713
1.0,16,0.15553054165722138,0.24577807192041734,0.11081583750275434,3.58,0.12251179039301308,4.58,5.0,6.0,6,results/NSGA2Novelty_G_P_20251023_142714
0.936,16,0.1799962320941934,0.05082040768184151,0.08462189894190252,1.6025641025641026,0.3064367816091954,2.436,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142715
0.948,16,0.18384760855861706,0.07940657580191979,0.11542570602110608,2.628691983122363,0.28055813953488373,3.44,4.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142715
0.832,16,0.14340867132066012,0.09235594738490381,0.13960292224030296,3.0673076923076925,0.4279432624113475,3.384,2.0,7.0,9,results/NSGA2Novelty_G_P_20251023_142716
0.956,16,0.2132560254825218,0.05893899457714537,0.08460052976532886,1.99581589958159,0.1973966480446927,2.864,3.0,4.0,7,results/NSGA2Novelty_G_P_20251023_142717
1.0,16,0.19265606933961504,0.06329917990549802,0.09559196156119973,2.092,0.15614489003880982,3.092,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142717
0.984,16,0.1872510913712002,0.06696587834537496,0.1154939151954765,2.0853658536585367,0.271098814229249,3.036,3.0,6.0,8,results/NSGA2Novelty_G_P_20251023_142718
0.972,16,0.1452233100419981,0.0666586960543532,0.10899097855225522,2.185185185185185,0.24973643410852708,3.096,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142719
0.904,16,0.184823396453452,0.06979701287221655,0.09110242236866153,2.1106194690265485,0.27257467994310103,2.812,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142719
1.0,16,0.22560015373595196,0.18880898473361457,0.1059827295234459,2.98,0.19427939698492458,3.98,4.0,6.0,6,results/NSGA2Novelty_G_P_20251023_142720
0.936,16,0.16366372052710434,0.06515046735884863,0.11024028032877341,2.452991452991453,0.30491089108910896,3.232,4.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142721
1.0,16,0.1462394033521076,0.09699707171092806,0.12600467930432924,2.84,0.2371416666666667,3.84,4.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142721
0.752,16,0.19829365346721137,0.050651249316915725,0.12894899460343126,2.6968085106382977,0.3994187050359712,2.78,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142722
0.996,16,0.1610080260223301,0.08397210355652003,0.1366843406014305,3.0240963855421685,0.2666826347305389,4.008,4.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142723
0.904,16,0.1743178676296799,0.05263477656984715,0.07353981969364677,1.8141592920353982,0.28647798742138364,2.544,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142723
1.0,16,0.15456025884453176,0.1313760447292342,0.1590906600995828,3.332,0.24551431209602959,4.332,4.0,7.0,8,results/NSGA2Novelty_G_P_20251023_142724
1.0,16,0.15967235416019415,0.25046210046109363,0.12240390028213967,3.976,0.14360771704180064,4.976,5.0,7.0,7,results/NSGA2Novelty_G_P_20251023_142724
0.832,16,0.15857338592996026,0.06823918971934706,0.10120850536352267,2.2115384615384617,0.3730658682634731,2.672,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142725
0.876,16,0.17553338783527117,0.0433561435799935,0.07597550180224259,1.6118721461187215,0.31423776223776223,2.288,2.5,4.0,5,results/NSGA2Novelty_G_P_20251023_142726
0.92,16,0.2115580388954363,0.05360533861852867,0.08728790363311728,2.0521739130434784,0.30134472934472933,2.808,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142726
0.92,16,0.20512354315836653,0.043525408463794935,0.06367605764421294,1.5739130434782609,0.30620270270270267,2.368,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142727
0.852,16,0.17729434022754767,0.05561664413299236,0.09268286777278936,2.1737089201877935,0.31842603550295856,2.704,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142728
1.0,16,0.19290868938146355,0.0782648312537491,0.09875395616673922,2.532,0.1712208380520951,3.532,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142728
1.0,16,0.22511457378867794,0.06260884234250963,0.10232211654001659,2.156,0.2403802281368821,3.156,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142729
1.0,16,0.193831652138423,0.103490988296135,0.0834739638290435,2.172,0.20838839848675916,3.172,3.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142730
0.94,16,0.18862929918602506,0.07998478607304033,0.0847014616977805,2.2638297872340427,0.2943363754889179,3.068,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142730
1.0,16,0.2143483370609212,0.0780549189950051,0.14173551293651807,2.988,0.2734724172517553,3.988,3.0,7.0,9,results/NSGA2Novelty_G_P_20251023_142731
1.0,16,0.152508938105974,0.0656150764050883,0.08611836597404683,1.932,0.20699045020463847,2.932,3.0,4.099999999999994,6,results/NSGA2Novelty_G_P_20251023_142732
