global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.09966627599831933,0.2773881674848564,0.5443434670181369,9.836,0.16357475083056483,10.836,11.0,14.0,15,results/NSGA2_20251023_142828
1.0,16,0.09445644344925541,0.29613235554747813,0.5279682307276207,9.964,0.12237723458591754,10.964,11.0,13.0,15,results/NSGA2_20251023_142828
1.0,16,0.1150785471759632,0.29294412394186997,0.47694706880885546,9.296,0.1340637140637141,10.296,12.0,13.0,14,results/NSGA2_20251023_142829
1.0,16,0.10577055728183837,0.2940546912746248,0.43256207800531826,8.852,0.12645554202192444,9.852,10.5,12.0,14,results/NSGA2_20251023_142829
1.0,16,0.11422590039218003,0.27939226380620463,0.4823906952285827,9.244,0.14031237797735263,10.244,10.0,13.0,13,results/NSGA2_20251023_142829
1.0,16,0.11246203957431047,0.30259083879781196,0.35730167013202185,7.988,0.13029105473965286,8.988,9.0,12.0,12,results/NSGA2_20251023_142830
1.0,16,0.10373532213334137,0.25938360795642795,0.44493815802786363,8.888,0.1482491909385113,9.888,11.0,13.0,14,results/NSGA2_20251023_142830
1.0,16,0.11574302668173331,0.29508403196440786,0.4641122005411339,9.352,0.1217527047913447,10.352,11.0,13.0,13,results/NSGA2_20251023_142831
1.0,16,0.10707623709523463,0.3024801610499073,0.5303798618477423,10.14,0.10889622980251346,11.14,11.0,13.0,14,results/NSGA2_20251023_142831
1.0,16,0.08606026396958567,0.2728473753267613,0.5152818448977656,9.648,0.14784072126220882,10.648,12.0,14.0,14,results/NSGA2_20251023_142832
1.0,16,0.08675483462871304,0.2730251626259569,0.3411886013184789,7.624,0.14630426716140998,8.624,8.0,12.0,12,results/NSGA2_20251023_142832
1.0,16,0.12215802227240877,0.28982889465686307,0.3622924280260806,8.264,0.0837305699481865,9.264,10.0,11.0,12,results/NSGA2_20251023_142832
1.0,16,0.09823127290676839,0.24597860797897153,0.40307294955996437,8.44,0.1283525423728814,9.44,10.0,12.0,13,results/NSGA2_20251023_142833
1.0,16,0.09906149142093565,0.22562809079853052,0.4146310895678322,8.284,0.1699353726841879,9.284,10.0,12.0,13,results/NSGA2_20251023_142833
1.0,16,0.10995514562214616,0.25273578735088564,0.406300228024526,8.292,0.1548635385277658,9.292,10.5,12.0,14,results/NSGA2_20251023_142834
1.0,16,0.10719820934617195,0.2765429702281467,0.544652517927053,9.784,0.16710682492581608,10.784,11.5,14.0,15,results/NSGA2_20251023_142834
1.0,16,0.10225334500193804,0.270805492521217,0.37602372268914835,8.144,0.149655293088364,9.144,9.0,12.0,13,results/NSGA2_20251023_142834
1.0,16,0.1192758967362793,0.28868885561193314,0.4728542730195941,9.268,0.14373042462017915,10.268,10.0,14.0,14,results/NSGA2_20251023_142835
1.0,16,0.10475580804936427,0.3153231240968867,0.40456151982718136,8.764,0.1187988529291274,9.764,10.0,12.0,13,results/NSGA2_20251023_142835
1.0,16,0.09844859781523281,0.271349909635586,0.39573120105419923,8.232,0.165213171577123,9.232,9.0,13.0,13,results/NSGA2_20251023_142836
1.0,16,0.10074355402425915,0.30415799866532944,0.3714507988096731,8.12,0.13882456140350874,9.12,10.0,11.0,12,results/NSGA2_20251023_142836
1.0,16,0.09863348938741098,0.3163252894261899,0.521747668400171,10.136,0.09888505747126441,11.136,11.5,13.0,14,results/NSGA2_20251023_142837
1.0,16,0.08507423049884262,0.29717901801334784,0.4680111776374819,9.232,0.14665207193119623,10.232,10.5,13.0,14,results/NSGA2_20251023_142837
1.0,16,0.07504984251131304,0.2733518939350886,0.3481968378909038,7.676,0.11319317657906869,8.676,9.0,10.0,11,results/NSGA2_20251023_142838
1.0,16,0.08364445048069784,0.29347762691001966,0.32653782107774604,7.672,0.08160885608856094,8.672,9.0,10.0,11,results/NSGA2_20251023_142838
1.0,16,0.11084957628625,0.29831519859553535,0.43395968973891075,9.248,0.07045120999219356,10.248,11.0,12.0,12,results/NSGA2_20251023_142838
1.0,16,0.0920384463292836,0.2900629171790772,0.4584202598375942,9.168,0.12945397324940988,10.168,11.0,12.0,13,results/NSGA2_20251023_142839
1.0,16,0.10028259149063268,0.29119196737108727,0.40461959929674973,8.652,0.11130874430169913,9.652,10.5,11.0,12,results/NSGA2_20251023_142839
1.0,16,0.10092230216876277,0.31105868390699964,0.49417033023429535,9.528,0.1355410334346504,10.528,11.5,13.0,14,results/NSGA2_20251023_142840
1.0,16,0.10055667855321652,0.26911147867612417,0.4266892230201672,8.964,0.08992533119229229,9.964,10.0,12.0,12,results/NSGA2_20251023_142840
1.0,16,0.11840905012065742,0.30334756862549506,0.4622511933345257,9.288,0.1079937791601866,10.288,11.0,12.0,12,results/NSGA2_20251023_142840
1.0,16,0.11710540060079834,0.29155260125214805,0.47433368216764177,9.304,0.14107763975155285,10.304,10.0,14.0,14,results/NSGA2_20251023_142841
1.0,16,0.09859259830702706,0.27541315719210546,0.40520224383150516,8.464,0.1233338968723584,9.464,11.0,11.0,12,results/NSGA2_20251023_142841
1.0,16,0.12335896973120612,0.2900098419562856,0.45361719859292804,8.992,0.1473947157726181,9.992,11.0,13.0,13,results/NSGA2_20251023_142842
1.0,16,0.09945072239898493,0.2668640121474184,0.3561606838349183,8.032,0.07632949512843223,9.032,10.0,10.0,10,results/NSGA2_20251023_142842
1.0,16,0.09985735667737908,0.2888845231706975,0.46805704366070555,9.36,0.1178934362934363,10.36,11.0,13.0,13,results/NSGA2_20251023_142842
