global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.996,16,0.08665329815008906,0.08710157867627982,0.3423013768505387,1.2409638554216869,0.4730035842293907,2.232,1.0,5.0,15,results/NSGA2VarianceReduction_20251020_154017
0.288,16,0.13246938431742317,0.07191965193404228,0.36102999105416705,6.541666666666667,0.7810902394106813,2.172,0.0,8.0,16,results/NSGA2VarianceReduction_20251020_154039
0.3,16,0.1394922598353308,0.07192910926035334,0.3509814694060716,5.906666666666666,0.7852509652509653,2.072,0.0,8.0,14,results/NSGA2VarianceReduction_20251020_154044
0.968,16,0.11784762339184414,0.09355865752344866,0.3299601037111639,1.2727272727272727,0.45262545454545455,2.2,1.0,6.0,15,results/NSGA2VarianceReduction_20251020_154048
0.988,16,0.09553970333194058,0.10448009783249518,0.25569151218859015,1.2834008097165992,0.45070921985815604,2.256,1.0,7.0,13,results/NSGA2VarianceReduction_20251020_154053
1.0,16,0.09240447628951935,0.09427585741207355,0.3358037646028522,1.584,0.4980681114551083,2.584,1.0,7.0,15,results/NSGA2VarianceReduction_20251020_154058
0.296,16,0.13879709704242177,0.061640114763215834,0.3337314906610314,4.783783783783784,0.8090467289719626,1.712,0.0,7.0,15,results/NSGA2VarianceReduction_20251020_154103
0.984,16,0.12642647404422813,0.116980585996426,0.2842418091273945,2.8902439024390243,0.23749634273772202,3.828,3.0,8.0,12,results/NSGA2VarianceReduction_20251020_154107
0.3,16,0.11689998302491253,0.06502395995636041,0.3873702278799641,5.413333333333333,0.8011891891891891,1.924,0.0,7.0,16,results/NSGA2VarianceReduction_20251020_154115
0.972,16,0.06774603175578367,0.11104538306106125,0.44131949075884064,0.8847736625514403,0.38082096069869,1.832,1.0,4.0,15,results/NSGA2VarianceReduction_20251020_154120
