global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.09185176032754507,0.30828181131597776,0.42886905615861387,8.976,0.08100080192461911,9.976,11.0,11.0,12,results/NSGA2_20251020_154251
1.0,16,0.08572642350165145,0.2875717563414896,0.5053419505963924,9.648,0.12207062359128473,10.648,11.0,13.0,13,results/NSGA2_20251020_154301
1.0,16,0.09183764830687202,0.2612178677551565,0.30813242644686023,7.352,0.09281226053639846,8.352,9.0,10.0,11,results/NSGA2_20251020_154306
1.0,16,0.09498529544541336,0.2936884530722844,0.4494699180282191,9.1,0.11862019801980195,10.1,11.0,12.0,12,results/NSGA2_20251020_154310
1.0,16,0.11802061883668948,0.3038447790238241,0.4884026739337143,9.66,0.11292007504690427,10.66,12.0,13.0,14,results/NSGA2_20251020_154314
1.0,16,0.09899497255008007,0.3150939682687812,0.40847326586278215,8.672,0.12197518610421831,9.672,11.0,12.0,13,results/NSGA2_20251020_154319
1.0,16,0.10327782023637229,0.27481184526951724,0.3952700364794521,8.304,0.1475631986242476,9.304,10.0,12.0,13,results/NSGA2_20251020_154323
1.0,16,0.09549292547092791,0.27589214081376606,0.34900734292421903,7.768,0.12787591240875917,8.768,9.0,11.0,13,results/NSGA2_20251020_154327
1.0,16,0.09213110531792885,0.278702524851153,0.39334982367108934,8.28,0.14127931034482755,9.28,10.0,11.0,13,results/NSGA2_20251020_154331
1.0,16,0.08672087645241945,0.25772755046373036,0.4486618547757225,9.016,0.129,10.016,11.0,12.0,13,results/NSGA2_20251020_154336
