global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.12286311489741131,0.09452276997343571,0.365539706171201,2.132,0.5295683269476372,3.132,1.0,10.0,14,results/NSGA2VarianceReduction_20251020_164834
0.332,16,0.12468736567472312,0.05994713050646132,0.4060697892872552,5.759036144578313,0.788270944741533,2.244,0.0,8.099999999999994,16,results/NSGA2VarianceReduction_20251020_164843
0.292,16,0.1128794403936,0.06351576763574818,0.5527304223310533,8.273972602739725,0.7893353028064993,2.708,0.0,11.0,16,results/NSGA2VarianceReduction_20251020_164847
0.984,16,0.12893509093839867,0.08107649815808939,0.33547687774366697,1.1991869918699187,0.4815600739371534,2.164,1.0,6.099999999999994,14,results/NSGA2VarianceReduction_20251020_164854
0.312,16,0.11245815711333426,0.0707059978452811,0.39425518262604925,6.628205128205129,0.7764773109243698,2.38,0.0,9.0,15,results/NSGA2VarianceReduction_20251020_164858
1.0,16,0.1352057581373843,0.10768274760315835,0.33866349810635477,2.944,0.37660040567951314,3.944,2.0,9.0,13,results/NSGA2VarianceReduction_20251020_164903
0.34,16,0.1393875912721206,0.06689085687724969,0.4621512484205849,6.658823529411765,0.7776651305683564,2.604,0.0,11.099999999999994,15,results/NSGA2VarianceReduction_20251020_164907
1.0,16,0.09794015893765858,0.0960822782112736,0.4430701882603917,2.72,0.5466236559139785,3.72,1.0,10.099999999999994,15,results/NSGA2VarianceReduction_20251020_164912
0.32,16,0.09531143229851893,0.06506112066443426,0.4427454906490819,5.8375,0.7869762340036563,2.188,0.0,10.0,16,results/NSGA2VarianceReduction_20251020_164920
0.324,16,0.12867213007349926,0.0641337161810128,0.4456779688880349,6.08641975308642,0.7846550522648084,2.296,0.0,9.099999999999994,16,results/NSGA2VarianceReduction_20251020_164925
